Name,Algorithm,Time,Cost
kroE100,VND,4.32,23431.78
kroC100,VND,4.31,21528.32
kroB100,VND,4.56,23221.35
kroD100,VND,4.39,22047.52
berlin52,VND,0.6,8088.51
pr76,VND,2.67,114122.21
pr144,VND,13.97,61507.87
rat195,VND,47.91,2547.7
kroA150,VND,20.87,28002.45
kroA100,VND,4.44,23252.92
pr136,VND,11.51,102045.53
kroB200,VND,51.52,32744.06
pr152,VND,21.94,75140.76
kroA200,VND,52.01,31612.81
pr107,VND,5.54,44585.37
st70,VND,2.02,709.61
pr124,VND,5.81,60883.64
rat99,VND,4.55,1318.39
kroB150,VND,15.74,28988.3
lin105,VND,5.14,15249.0
att48,VND,0.47,35109.0
